날짜,업체명,연락처/주소,작업내용,공임비,부품내역,총합계
2026-02-15,"상록회관","01048164313","온도조절기교환",165000,"온도조절기(1)",200000
2026-02-14,"쿨마트","01021694624","마트리치인점검",50000,"",50000
2026-02-14,"원당계란무인매장","01031586559","음료쇼케이스 pcb소자수리2대",240000,"",240000
2026-02-13,"빵백화점","01077693623","저장고 점검",250000,"",250000
2026-02-13,"구연","01052721758","5마력쿨러교체 팽창변 드라이어 냉매4k",1300000,"쿨러외(1); 일당태종(1)",2300000
2026-02-12,"더랜치부루잉","01059577738","냉매부성서랍식",150000,"",150000
2026-02-12,"응암감자탕","01089937893","45박스 냉동콤프교환",290000,"3/1콤프외(1)",400000
2026-02-11,"고향옥","01026114099","태영이관 쇼케이스 휜지교환",64000,"태영수리비(1)",130000
2026-02-08,"추상","01071457478","쇼케이스 성에제거 2번 방뭇",250000,"",250000
2026-02-08,"서울바다카페","01062258873","우성식기세척기점검 차단기교체",170000,"",170000
2026-02-06,"래격마라탕","01082177761","45박스 누전 히터 삭제 팬모터교환",139000,"팬모터4w(1)",150000
2026-02-05,"로더우드","","냉동드레인히터배선설치 가나냉동용인",250000,"",250000
2026-02-05,"원미식품","01022855557","5마력반폐 바이브레선 배관2개 팬제어교환 개스4k",700000,"배관외(1); 중부공조일당(1)",1300000
2026-02-04,"밀밭칼국수","","45박스 히터 누전 삭제",50000,"",50000
2026-02-04,"W모텔","","보일러타이머설치",160000,"서준타이머(1)",200000
2026-02-03,"이도옥돈가스","","테이블팬모터교환",114500,"4w팬모터(1)",120000
2026-02-03,"중산농협정육","","평대 기판수리 납땜",100000,"",100000
2026-02-02,"중산망향비빔","","K3   쇼케이스 소자수리 ",120000,"",120000
2026-02-01,"통돼지두루치기 김포","","밧드 냉매 당근구입제품",150000,"",150000
2026-01-31,"해변마을","01062180001","수족관워터펌프교환",120000,"펌프(1)",170000
2026-01-31,"야당대패마켓","01044441331","토핑냉장고 콤프3/1플러스 교체 ",287000,"엠블콤프(1); 드라이어(1)",400000
2026-01-30,"더차이","","35올냉돔개스",0,"",0
2026-01-29,"구연","","5마력냉장 개스 4k",600000,"",600000
2026-01-28,"빵백화점","01077693623","1500테이블 배관설치",190000,"9미리배관(1)",250000
2026-01-28,"덕은그릴","","우성쇼케이스 배관용접404개스",200000,"",200000
2026-01-27,"권가네 아구찜","","브레마 수냉제빙기 솔밸브 재연결",50000,"",50000
2026-01-26,"병수일당","","거여동치킨 엘지거설치",250000,"",250000
2026-01-24,"보배반점","","워머기콘트롤교환 세림",190000,"세림(1)",250000
2026-01-23,"더테라스웨딩","","5마력냉동타이머교환 펌프타운 삭제 배선조정 중부냉동 도와줌 쿨러 성에제거",300000,"중부일당(1)",400000
2026-01-22,"강선교회","","삼성설지 태종거",250000,"",250000
2026-01-22,"김종구어묵주엽","","K3 쇼케이스 휴즈교환 ",70000,"",70000
2026-01-22,"불곰마켓야당","","냉동쇼케이스 콤프 교환",250000,"3/1콤프(1)",350000
2026-01-21,"빵백화점중동","","라셀테이블 팬모터6w교환",135000,"6w팬모터(1)",150000
2026-01-20,"당산푸드스토리","","냉동차단기교환",145000,"차단기30a(1)",150000
2026-01-20,"명동찌게라페","","테이블냉장손잡이수리",50000,"",50000
2026-01-20,"본도시락화곡","","워머기히터교환 ",170000,"히터(1)",200000
2026-01-19,"빵백화점","","테이블냉장잡수리 모세관오ㅓ ",350000,"",350000
2026-01-17,"시장을여는사람들","","45박스 온도조절기개조수리",200000,"온도조절기(1)",300000
2026-01-15,"병수설치","","화전 삼성거 설치8대",250000,"",250000
2026-01-13,"더벤티커피","","K3  쇼케이스소자수리",130000,"",130000
2026-01-09,"연희김밥","","부성냉매충전",100000,"",100000
2026-01-08,"하나로목우촌","","테이블냉장고 팬모터 교환",124500,"4w모터(1)",130000
2026-01-07,"더캐리","","브레마제빙기 개스 에바센서조정",150000,"",150000
2026-01-07,"참도시락","","45박스 팬모터 냉동2마력셋트교환 ",500000,"2마력셋트(1); 태종일당(1)",2200000
2026-01-07,"야당자머덧밥","","테이블밧드개스충전",80000,"",80000
2026-01-07,"덕이본가갈비","","테이블냉장접지설명",50000,"",50000
2026-01-05,"킴스델리마켓","","부성도우컨습도센서교환",200000,"센서(1)",350000
2026-01-02,"회동길빵집","","45박스 냉매",150000,"",150000
2026-01-02,"개봉정뮥점","","냉장드라이교환배관용정개스2.5k",340000,"드라이(1)",350000
