날짜,업체명,연락처,작업내용,공임비,부품구매가합산
2026-03-05,오늘은초밥좋은날,010-2495-2417,쇼케이스 재냉매,0,0
2026-03-05,빨간쭈꾸미,010-,설빙고점검,50000,0
2026-03-04,운정쭈꾸미,010-2572-9872,45박스 패킹 ,100000,0
2026-03-04,인커밍,010-8937-5034,900밧드 냉매 액서서리 ,150000,0
2026-03-04,고기데이김포,010-8913-4559,K3   sd420  휴즈교환   comp고착,50000,0
2026-03-03,오늘은초밥좋은날,010-2495-2417,C,88000,72000
2026-03-03,제주돗날,010-3712-5773,한성 온도 조절기 교환,250000,0
2026-03-03,쭈꾸미좋은날 ,010-2572-9877,45박스 냉동 개스압조정 ,50000,0
2026-03-03,꼬꼬탕,010-3800-3320,밧드냉매,100000,0
2026-03-02,북한산시래기,010-5626-9004,저장고 mec  타이머교환,200000,0
2026-03-01,오늘은초밥좋은날,010-2495-2417,콤프 드라이 교환 ,290000,110000
2026-02-28,합정설치,010-3300-6222,태종건,0,0
2026-02-28,은평무인아이스크림,010-9304-6492,냉동쇼케이스  온도조절기 교환,0,6000
2026-02-27,은평무인아이스크림,010-9304-6492,냉동유니크 쇼케이스  팬모타 교환,150000,10000
2026-02-26,연신내김밥,010-2440-1240,테이블반반 센서 점검,30000,0
2026-02-26,타이객잔,010-2815-5244,제빙기카이저판매설치,400000,0
2026-02-25,백석1층,010-,"삼성36평 인버터 판매설치 
230받음
제품외188",220000,0
2026-02-25,참도시락,010-3675-2697,삼성중고40평설치 120받음태종,300000,0
2026-02-24,지젤플라워,010-9147-9766,"꽃냉장고 개스 진공 7p
영등포",150000,0
2026-02-24,레스피레,010-7200-0473,"1500냉장 진공냉매6p
효자동",150000,0
2026-02-24,운정두찜,010-9222-2815,밧드1200 용접개스,150000,0
2026-02-23,월드공조병수,010-3534-7521,가산동 천정형설치 ,250000,0
2026-02-22,뿌리깊은족발,010-2638-3732,65박스 냉장 개스 차단제,115000,35000
2026-02-21,시장을여는사람들,010-3185-3411,에버젠간냉서랍 트랜스교체아답타사용,190000,10000
2026-02-21,오시망원,010-9715-7716,"그릴점검 콘센트 다른곳 꼽아줌
전워니셋",200000,0
2026-02-21,중식고,010-2168-4175,밧드전원불 콘센트 빠짐,30000,0
2026-02-21,모에루,010-4558-9203,"카이저제빙기 기판교체
물만계속드레인",150000,50000
2026-02-18,루고일산,010-4079-6758,테이블냉장 조절기 개스,270000,50000
2026-02-15,상록회관노원,1048164313,온도조절기교환,165000,35000
2026-02-14,쿨마트,1021694624,마트리치인점검,50000,0
2026-02-14,원당계란무인매장,1031586559,음료쇼케이스 pcb소자수리2대,240000,0
2026-02-13,빵백화점,1077693623,저장고 점검,250000,0
2026-02-13,구연,1052721758,5마력쿨러교체 팽창변 드라이어 냉매4k,1300000,1000000
2026-02-12,더랜치부루잉,1059577738,냉매부성서랍식,150000,0
2026-02-12,응암감자탕,1089937893,45박스 냉동콤프교환,290000,110000
2026-02-11,고향옥,1026114099,태영이관 쇼케이스 휜지교환,64000,66000
2026-02-08,추상,1071457478,쇼케이스 성에제거 2번 방문,250000,0
2026-02-08,서울바다카페,1062258873,우성식기세척기점검 차단기교체,165000,5000
2026-02-06,래격마라탕,1082177761,45박스 누전 히터 삭제 팬모터교환,145500,5500
2026-02-05,로더우드,010-5558-3936,냉동드레인히터배선설치 가나냉동용인,250000,0
2026-02-05,원미식품,1022855557,5마력반폐 바이브레선 배관2개 팬제어교환 개스4k,700000,600000
2026-02-04,밀밭칼국수,010-2357-0016,45박스 히터 누전 삭제,50000,0
2026-02-04,W모텔,,보일러타이머설치,160000,40000
2026-02-03,이도옥돈가스,010-2440-2388,테이블팬모터교환,119000,11000
2026-02-03,중산농협정육,010-6759-8878,평대 기판수리 납땜,100000,0
2026-02-02,중산망향비빔,,K3   쇼케이스 소자수리,120000,0
2026-02-01,통돼지두루치기 김포,,밧드 냉매 당근구입제품,150000,0
2026-01-31,해변마을,1062180001,수족관워터펌프교환,120000,50000
2026-01-31,야당대패마켓,1044441331,토핑냉장고 콤프3/1플러스 교체,290000,110000
2026-01-30,더차이,,35올냉동개스,0,0
2026-01-29,구연,,5마력냉장 개스 4k,600000,0
2026-01-28,빵백화점,1077693623,1500테이블 배관설치,190000,60000
2026-01-28,덕은그릴,,우성쇼케이스 배관용접404개스,200000,0
2026-01-27,권가네 아구찜,,브레마 수냉제빙기 솔밸브 재연결,50000,0
2026-01-26,병수일당,,거여동치킨 엘지거설치,250000,0
2026-01-24,보배반점,,워머기콘트롤교환 세림,190000,60000
2026-01-23,더테라스웨딩,,5마력냉동타이머교환 펌프타운 삭제 배선조정 중부냉동 도와줌 쿨러 성에제거,300000,100000
2026-01-22,강선교회,,삼성설지 태종거,250000,0
2026-01-22,김종구어묵주엽,,K3 쇼케이스 휴즈교환,70000,0
2026-01-22,불곰마켓야당,,냉동쇼케이스 콤프 교환,250000,100000
2026-01-21,빵백화점중동,,라셀테이블 팬모터6w교환,135000,25000
2026-01-20,당산푸드스토리,,냉동차단기교환,145000,5000
2026-01-20,명동찌게라페,,테이블냉장손잡이수리,50000,0
2026-01-20,본도시락화곡,,워머기히터교환,170000,30000
2026-01-19,빵백화점,,테이블냉장잡수리 모세관오ㅓ,350000,0
2026-01-17,시장을여는사람들,010-3185-3411,45박스 온도조절기개조수리,200000,100000
2026-01-15,병수설치,,화전 삼성거 설치8대,250000,0
2026-01-13,더벤티커피,,K3  쇼케이스소자수리,130000,0
2026-01-09,연희김밥,,부성냉매충전,100000,0
2026-01-08,하나로목우촌,,테이블냉장고 팬모터 교환,124500,5500
2026-01-07,더캐리,,브레마제빙기 개스 에바센서조정,150000,0
2026-01-07,참도시락,010-3675-2697,45박스 팬모터 냉동2마력셋트교환,500000,1700000
2026-01-07,야당장어덧밥,,테이블밧드개스충전,80000,0
2026-01-07,덕이본가갈비,,테이블냉장접지설명,50000,0
2026-01-05,킴스델리마켓,,부성도우컨습도센서교환,200000,150000
2026-01-02,회동길빵집,010-5419-9973,45박스 냉매,150000,0
2026-01-02,개봉정육점,010-3735-8048,냉장드라이교환배관용정개스2.5k,340000,10000
